date,on_stream_hours,choke_size_percentage,bottomhole_pressure_psi,bottomhole_temperature_f,wellhead_pressure_psi,wellhead_temperature_f,oil_volume_bbl,gas_volume_mscf,water_volume_bbl,water_cut_percentage,gor_mscf_bbl
2023-01-23,24.0,76.82,2869.5,180.3,1414.8,112.6,3760.88,4810.77,106.08,2.74,1.2792
2023-01-24,24.0,74.69,2889.0,179.1,1435.9,111.2,3724.64,4657.71,105.47,2.75,1.2505
2023-01-25,24.0,73.87,2882.0,180.1,1477.6,111.7,3587.68,4391.27,101.99,2.76,1.224
2023-01-26,24.0,74.03,2867.8,179.6,1449.9,108.6,3651.28,4335.88,104.2,2.77,1.1875
2023-01-27,24.0,72.31,2861.4,180.7,1458.7,108.4,3593.37,4407.91,102.95,2.79,1.2267
2023-01-28,24.0,72.87,2868.1,180.2,1461.1,110.5,3522.42,4292.94,101.32,2.8,1.2187
2023-01-29,24.0,71.97,2878.2,180.4,1487.6,111.1,3477.11,4714.11,100.41,2.81,1.3558
2023-01-30,24.0,71.53,2876.9,180.0,1498.7,108.9,3590.38,4724.6,104.09,2.82,1.3159
2023-01-31,24.0,70.63,2894.1,180.0,1530.3,109.1,3442.32,4160.69,100.19,2.83,1.2087
2023-02-01,24.0,73.41,2864.5,180.7,1435.6,109.0,3617.02,4574.95,105.7,2.84,1.2648
2023-02-02,24.0,73.39,2871.0,180.5,1468.2,112.8,3612.59,4743.8,105.99,2.85,1.3131
2023-02-03,24.0,71.8,2897.7,180.1,1500.1,110.6,3412.78,4123.9,100.52,2.86,1.2084
2023-02-04,24.0,73.04,2862.3,179.9,1482.5,111.6,3499.73,4079.76,103.5,2.87,1.1657
2023-02-05,24.0,71.2,2861.0,179.1,1500.2,110.6,3487.94,3983.29,103.56,2.88,1.142
2023-02-06,24.0,71.52,2867.3,180.2,1509.6,110.2,3330.7,4443.28,99.29,2.89,1.334
2023-02-07,24.0,68.58,2908.7,179.9,1590.0,107.3,3314.86,4106.22,99.21,2.91,1.2387
2023-02-08,24.0,66.59,2924.7,180.3,1637.2,108.3,3173.73,4022.75,95.37,2.92,1.2675
2023-02-09,24.0,66.88,2916.9,180.4,1610.6,107.1,3313.38,4022.72,99.97,2.93,1.2141
2023-02-10,12.0,67.99,2920.0,180.6,1590.7,83.5,1657.61,1940.14,50.22,2.94,1.1704
2023-02-11,24.0,68.25,2894.3,180.2,1575.2,107.8,3380.92,4003.74,102.84,2.95,1.1842
2023-02-12,24.0,68.07,2927.9,179.5,1605.5,107.6,3288.61,3832.12,100.44,2.96,1.1653
2023-02-13,24.0,67.62,2911.6,178.9,1593.9,107.1,3259.3,4248.78,99.95,2.98,1.3036
2023-02-14,24.0,65.4,2877.9,179.6,1621.8,106.5,3137.81,4226.27,96.61,2.99,1.3469
2023-02-15,24.0,64.32,2950.0,180.7,1687.7,103.6,3071.24,3837.42,94.95,3.0,1.2495
2023-02-16,24.0,63.63,2915.6,180.9,1669.7,103.2,3231.4,3732.91,100.31,3.01,1.1552
2023-02-17,24.0,65.22,2897.6,179.9,1628.0,106.5,3191.31,4093.57,99.47,3.02,1.2827
2023-02-18,24.0,65.73,2915.4,179.3,1636.2,105.8,3095.42,4114.41,96.88,3.03,1.3292
2023-02-19,12.0,63.09,2901.3,179.7,1680.8,83.5,1596.71,2095.12,50.18,3.05,1.3121
2023-02-20,24.0,63.58,2911.7,180.6,1681.9,105.1,3029.39,3782.52,95.6,3.06,1.2486
2023-02-21,24.0,63.0,2948.7,179.7,1717.0,103.3,3043.4,3751.38,96.44,3.07,1.2326
2023-02-22,24.0,61.98,2940.4,180.3,1714.4,104.3,3028.73,3772.72,96.37,3.08,1.2456
2023-02-23,24.0,62.9,2935.6,180.1,1696.5,105.8,2921.69,3870.89,93.35,3.1,1.3249
2023-02-24,24.0,64.45,2899.8,180.4,1644.2,105.8,3035.01,3942.59,97.37,3.11,1.299
2023-02-25,24.0,65.84,2874.0,180.9,1626.6,107.1,3254.34,4001.12,104.84,3.12,1.2295
2023-02-26,24.0,64.58,2916.4,180.3,1659.5,105.0,3073.87,3763.44,99.44,3.13,1.2243
2023-02-27,24.0,64.12,2922.1,180.1,1673.1,106.4,3124.33,3809.91,101.5,3.15,1.2194
2023-02-28,24.0,64.62,2916.1,181.0,1660.4,104.4,3056.42,3617.24,99.71,3.16,1.1835
2023-03-01,24.0,66.08,2892.9,180.2,1611.3,106.8,3145.73,4204.87,103.05,3.17,1.3367
2023-03-02,24.0,65.36,2879.6,179.6,1640.5,109.6,3226.21,3883.71,106.13,3.18,1.2038
2023-03-03,24.0,65.08,2931.5,180.3,1663.7,106.4,3126.33,3999.65,103.28,3.2,1.2793
2023-03-04,24.0,63.42,2914.1,180.2,1682.3,103.8,2996.94,3622.9,99.42,3.21,1.2089
2023-03-05,24.0,61.63,2917.3,179.8,1707.6,102.5,2889.98,3526.11,96.28,3.22,1.2201
2023-03-06,24.0,62.85,2906.2,179.7,1676.9,103.9,2950.24,3669.43,98.7,3.24,1.2438
2023-03-07,24.0,64.88,2893.4,179.9,1638.7,106.7,3156.27,4059.41,106.04,3.25,1.2861
2023-03-08,24.0,64.78,2906.7,179.7,1644.5,105.6,3119.24,3851.14,105.25,3.26,1.2346
2023-03-09,24.0,66.28,2880.0,179.9,1596.8,105.4,3068.88,3626.63,103.99,3.28,1.1817
2023-03-10,24.0,66.82,2884.4,179.6,1595.7,105.8,3169.76,3974.76,107.86,3.29,1.254
2023-03-11,12.0,65.86,2880.2,180.2,1613.5,83.3,1555.88,1874.94,53.17,3.3,1.2051
2023-03-12,24.0,66.4,2870.5,180.2,1601.3,106.5,3158.91,4266.99,108.42,3.32,1.3508
2023-03-13,24.0,68.7,2862.0,180.2,1546.1,108.8,3206.35,3970.66,110.52,3.33,1.2384
2023-03-14,24.0,68.65,2860.5,180.0,1541.2,109.4,3311.57,4016.6,114.63,3.35,1.2129
2023-03-15,24.0,71.0,2828.8,179.9,1480.1,113.8,3348.41,4626.62,116.41,3.36,1.3817
2023-03-16,24.0,67.07,2850.1,180.7,1587.9,104.8,3184.25,4146.23,111.18,3.37,1.3021
2023-03-17,24.0,68.3,2855.3,180.0,1542.6,108.8,3165.68,3795.53,111.01,3.39,1.199
2023-03-18,24.0,68.43,2848.9,180.6,1552.9,108.0,3172.44,3826.38,111.72,3.4,1.2061
2023-03-19,24.0,67.98,2841.7,179.5,1559.0,104.8,3366.0,4329.44,119.06,3.42,1.2862
2023-03-20,24.0,68.12,2834.9,180.3,1546.2,109.6,3315.23,4176.33,117.77,3.43,1.2597
2023-03-21,24.0,65.14,2876.2,179.6,1644.8,106.2,3053.23,3997.52,108.93,3.44,1.3093
2023-03-22,24.0,64.81,2879.5,179.7,1640.4,106.6,3132.81,3795.87,112.26,3.46,1.2117
2023-03-23,24.0,65.35,2860.3,179.8,1632.7,103.2,3136.56,4073.88,112.88,3.47,1.2988
2023-03-24,24.0,67.56,2837.9,179.8,1553.1,107.0,3124.05,3486.65,112.92,3.49,1.1161
2023-03-25,24.0,66.78,2839.0,179.8,1568.6,105.1,3079.4,3839.86,111.8,3.5,1.247
2023-03-26,24.0,65.57,2865.5,180.6,1618.1,109.1,3106.53,3776.5,113.28,3.52,1.2157
2023-03-27,24.0,64.82,2852.4,180.0,1617.2,107.1,3043.66,3734.38,111.47,3.53,1.2269
2023-03-28,24.0,66.19,2885.7,180.1,1629.2,105.3,3064.73,3819.29,112.74,3.55,1.2462
2023-03-29,24.0,66.69,2840.7,179.8,1581.2,104.4,3154.98,4190.01,116.57,3.56,1.3281
2023-03-30,24.0,65.89,2815.4,180.4,1568.2,106.4,2981.97,3536.71,110.66,3.58,1.186
2023-03-31,24.0,66.66,2843.9,180.2,1562.7,108.3,3111.12,3480.63,115.97,3.59,1.1188
2023-04-01,24.0,66.81,2840.7,179.8,1574.7,104.2,3031.23,3611.04,113.49,3.61,1.1913
2023-04-02,24.0,68.26,2845.5,179.2,1549.7,106.4,3096.77,4088.77,116.46,3.62,1.3203
2023-04-03,24.0,67.21,2840.2,180.1,1570.8,105.4,3077.74,3549.17,116.26,3.64,1.1532
2023-04-04,24.0,66.71,2826.0,180.3,1581.2,108.0,3119.08,3810.88,118.34,3.66,1.2218
2023-04-05,24.0,66.13,2837.5,179.5,1597.4,105.7,3025.39,3961.91,115.3,3.67,1.3096
2023-04-06,24.0,63.93,2863.0,179.9,1636.9,104.3,2890.44,3615.75,110.65,3.69,1.2509
2023-04-07,24.0,64.38,2820.7,180.3,1597.2,105.3,3009.3,4000.12,115.71,3.7,1.3293
2023-04-08,24.0,64.77,2868.7,179.2,1617.7,104.0,3086.06,3476.37,119.19,3.72,1.1265
2023-04-09,24.0,64.77,2834.8,179.7,1603.3,103.2,3032.8,3750.97,117.66,3.73,1.2368
2023-04-10,24.0,64.42,2870.0,180.2,1633.7,107.2,3083.15,4124.84,120.15,3.75,1.3379
2023-04-11,24.0,62.3,2870.3,180.6,1681.2,105.8,2956.58,3498.53,115.74,3.77,1.1833
2023-04-12,24.0,61.67,2877.5,181.1,1686.5,103.4,2816.37,3712.61,110.75,3.78,1.3182
2023-04-13,24.0,61.15,2888.1,181.0,1713.4,103.2,2853.79,3532.09,112.73,3.8,1.2377
2023-04-14,24.0,59.95,2887.7,180.1,1737.2,103.9,2755.42,3526.04,109.33,3.82,1.2797
2023-04-15,24.0,59.71,2889.8,179.8,1740.9,102.0,2805.52,3735.58,111.82,3.83,1.3315
2023-04-16,24.0,60.32,2871.1,180.5,1705.3,101.6,2767.71,3545.07,110.82,3.85,1.2809
2023-04-17,4.0,63.14,2855.1,179.7,1657.9,67.4,475.78,579.55,19.14,3.87,1.2181
2023-04-18,24.0,63.41,2837.3,179.6,1658.7,106.5,2990.22,3863.76,120.82,3.88,1.2921
2023-04-19,24.0,63.79,2836.5,179.8,1632.6,104.7,2944.24,3578.04,119.5,3.9,1.2153
2023-04-20,24.0,63.68,2870.7,179.8,1622.4,103.6,2879.44,3660.02,117.4,3.92,1.2711
2023-04-21,24.0,60.8,2850.8,180.2,1707.6,102.8,2756.28,3244.23,112.89,3.93,1.177
2023-04-22,24.0,60.76,2864.2,179.7,1696.9,103.5,2742.76,3445.79,112.85,3.95,1.2563
2023-04-23,24.0,60.85,2861.5,180.0,1723.3,103.4,2726.17,3624.06,112.69,3.97,1.3294
2023-04-24,24.0,64.55,2824.3,180.8,1610.1,106.0,2920.31,3618.62,121.26,3.99,1.2391
2023-04-25,24.0,64.26,2837.6,180.1,1605.1,103.7,2954.84,3916.7,123.26,4.0,1.3255
2023-04-26,24.0,64.71,2833.8,180.8,1590.6,106.5,2955.01,4289.48,123.84,4.02,1.4516
2023-04-27,24.0,64.66,2810.1,180.6,1614.2,105.3,2920.67,3672.18,122.96,4.04,1.2573
2023-04-28,24.0,62.91,2838.2,180.3,1659.0,103.0,2950.03,3821.25,124.77,4.06,1.2953
2023-04-29,24.0,64.62,2805.4,179.8,1619.1,106.4,2821.76,3638.87,119.89,4.08,1.2896
2023-04-30,24.0,65.75,2823.1,180.5,1585.8,105.3,3007.25,3825.77,128.37,4.09,1.2722
2023-05-01,24.0,100.0,2538.6,179.9,845.6,127.6,4529.35,6037.32,194.24,4.11,1.3329
2023-05-02,24.0,98.64,2546.8,180.0,868.3,127.5,4389.89,5556.73,189.13,4.13,1.2658
2023-05-03,24.0,99.17,2549.8,180.2,857.5,129.1,4530.21,5612.87,196.08,4.15,1.239
2023-05-04,24.0,99.14,2534.7,180.0,855.6,130.3,4472.59,5299.25,194.49,4.17,1.1848
2023-05-05,24.0,100.0,2544.3,179.6,850.3,128.7,4640.76,5847.08,202.74,4.19,1.2599
2023-05-06,24.0,99.42,2519.7,179.2,841.3,129.2,4575.86,6140.37,200.84,4.2,1.3419
2023-05-07,24.0,98.75,2559.1,180.5,857.7,127.3,4634.36,5656.04,204.35,4.22,1.2205
2023-05-08,24.0,99.32,2523.8,180.3,854.3,131.0,4442.82,5773.47,196.82,4.24,1.2995
2023-05-09,24.0,100.0,2499.9,179.1,824.6,132.6,4639.43,5928.31,206.5,4.26,1.2778
2023-05-10,24.0,100.0,2519.1,179.6,807.3,132.4,4404.56,5480.24,196.96,4.28,1.2442
2023-05-11,24.0,99.38,2521.0,180.1,856.4,131.0,4468.07,5205.01,200.74,4.3,1.1649
2023-05-12,24.0,100.0,2516.3,180.2,827.7,131.3,4460.62,6119.3,201.35,4.32,1.3718
2023-05-13,24.0,100.0,2523.5,179.2,847.8,126.9,4553.14,5996.05,206.49,4.34,1.3169
2023-05-14,24.0,98.57,2546.6,180.0,879.5,129.3,4482.43,6511.0,204.25,4.36,1.4526
2023-05-15,24.0,97.77,2532.3,180.3,884.6,127.7,4312.38,5831.19,197.42,4.38,1.3522
2023-05-16,24.0,99.41,2510.3,179.8,871.6,130.9,4520.56,6197.51,207.93,4.4,1.371
2023-05-17,24.0,100.0,2497.8,180.1,831.2,126.2,4450.41,5222.16,205.68,4.42,1.1734
2023-05-18,24.0,96.3,2536.0,179.8,905.1,127.7,4244.46,4963.05,197.09,4.44,1.1693
2023-05-19,24.0,97.02,2507.6,180.5,892.5,127.6,4342.86,5592.67,202.61,4.46,1.2878
2023-05-20,24.0,98.41,2512.6,179.6,863.6,130.6,4272.51,5173.49,200.28,4.48,1.2109
2023-05-21,24.0,97.15,2550.8,179.4,910.3,130.3,4423.81,5475.35,208.36,4.5,1.2377
2023-05-22,24.0,98.17,2510.4,180.0,854.8,127.3,4379.92,6338.37,207.27,4.52,1.4471
2023-05-23,24.0,100.0,2516.2,179.3,826.2,128.7,4460.06,6069.03,212.07,4.54,1.3608
2023-05-24,24.0,100.0,2487.0,178.9,836.7,130.3,4451.73,5460.56,212.69,4.56,1.2266
2023-05-25,24.0,99.06,2538.2,180.5,850.3,131.9,4559.54,5155.46,218.88,4.58,1.1307
2023-05-26,24.0,98.28,2544.1,179.5,883.3,128.9,4508.65,5484.99,217.47,4.6,1.2165
2023-05-27,24.0,98.3,2523.9,179.3,873.7,126.9,4491.24,5604.59,217.67,4.62,1.2479
2023-05-28,24.0,98.86,2539.1,179.6,858.6,128.3,4387.29,5535.71,213.65,4.64,1.2618
2023-05-29,24.0,98.96,2512.5,179.6,858.6,129.6,4297.34,5167.44,210.28,4.66,1.2025
2023-05-30,24.0,99.71,2511.3,179.9,829.6,130.2,4423.9,6004.71,217.51,4.69,1.3573
2023-05-31,24.0,99.49,2519.2,179.5,838.3,128.6,4439.75,5498.11,219.34,4.71,1.2384
2023-06-01,24.0,99.76,2499.5,180.2,834.8,128.9,4492.33,5963.41,223.01,4.73,1.3275
2023-06-02,24.0,100.0,2470.3,180.3,824.2,128.5,4455.07,5754.78,222.23,4.75,1.2917
2023-06-03,24.0,98.4,2516.8,179.4,862.7,130.6,4263.92,5733.03,213.72,4.77,1.3445
2023-06-04,24.0,98.57,2495.3,179.7,860.0,127.7,4310.37,5477.68,217.1,4.8,1.2708
2023-06-05,24.0,98.72,2493.8,179.7,856.4,128.4,4305.94,5282.29,217.92,4.82,1.2267
2023-06-06,24.0,100.0,2492.7,179.9,846.2,129.3,4460.96,5566.52,226.87,4.84,1.2478
2023-06-07,24.0,99.66,2498.2,180.5,837.4,127.4,4444.39,5547.87,227.12,4.86,1.2483
2023-06-08,24.0,100.0,2487.9,180.6,841.2,128.7,4467.54,6342.13,229.41,4.88,1.4196
2023-06-09,24.0,100.0,2493.9,181.2,840.5,131.8,4429.3,5718.94,228.56,4.91,1.2912
2023-06-10,24.0,97.23,2494.6,178.9,900.6,126.2,4101.01,5275.84,212.65,4.93,1.2865
2023-06-11,24.0,98.98,2489.2,179.5,845.4,127.8,4200.62,5643.07,218.88,4.95,1.3434
2023-06-12,24.0,97.5,2513.1,180.9,875.4,126.3,4270.43,5485.72,223.6,4.98,1.2846
2023-06-13,24.0,95.86,2538.8,179.1,928.9,127.0,4215.25,5708.81,221.79,5.0,1.3543
2023-06-14,24.0,91.54,2577.3,180.9,1008.3,126.9,4114.9,5165.37,217.57,5.02,1.2553
2023-06-15,24.0,90.34,2560.3,180.1,1031.2,123.0,3964.39,4956.34,210.64,5.05,1.2502
2023-06-16,24.0,90.33,2565.1,180.1,1027.6,123.3,3877.53,4720.41,207.04,5.07,1.2174
2023-06-17,24.0,89.75,2585.5,179.4,1017.4,121.6,3978.44,5556.52,213.47,5.09,1.3967
2023-06-18,24.0,89.06,2550.0,179.8,1039.8,122.2,3891.62,4969.42,209.84,5.12,1.277
2023-06-19,24.0,87.39,2581.5,180.9,1080.6,123.0,3786.26,4557.31,205.16,5.14,1.2036
2023-06-20,24.0,88.69,2571.9,180.0,1052.5,122.3,3745.66,4839.93,203.96,5.16,1.2921
2023-06-21,24.0,90.13,2569.3,179.8,1024.2,126.3,3936.97,4874.64,215.43,5.19,1.2382
2023-06-22,24.0,90.76,2524.2,180.2,981.0,125.4,3972.56,4999.99,218.46,5.21,1.2586
2023-06-23,24.0,87.93,2548.5,179.9,1063.4,121.4,3751.81,4882.88,207.34,5.24,1.3015
2023-06-24,24.0,91.34,2534.3,180.2,994.9,123.8,4032.55,5566.31,223.95,5.26,1.3803
2023-06-25,24.0,91.56,2536.6,179.6,999.3,126.5,4031.92,5197.52,225.03,5.29,1.2891
2023-06-26,24.0,92.37,2540.0,180.0,960.5,124.9,4015.68,4966.16,225.23,5.31,1.2367
2023-06-27,24.0,90.12,2547.6,179.7,1022.1,125.2,3911.93,4887.07,220.5,5.34,1.2493
2023-06-28,24.0,90.1,2536.4,179.1,1010.5,126.1,3981.09,5273.75,225.52,5.36,1.3247
2023-06-29,24.0,90.72,2538.6,180.2,1004.7,123.2,3959.78,4580.71,225.43,5.39,1.1568
2023-06-30,24.0,90.51,2537.3,179.4,1004.1,123.9,3863.54,4696.68,221.04,5.41,1.2156
2023-07-01,24.0,91.82,2547.2,179.9,993.4,125.7,3956.34,5124.65,227.48,5.44,1.2953
2023-07-02,24.0,93.77,2506.6,180.5,938.0,126.8,4098.34,4817.44,236.82,5.46,1.1755
2023-07-03,24.0,91.75,2513.2,179.3,965.4,125.4,3801.78,4807.39,220.78,5.49,1.2645
2023-07-04,24.0,93.03,2514.2,180.3,955.8,123.1,3939.95,4939.82,229.95,5.51,1.2538
2023-07-05,24.0,93.62,2504.4,179.9,939.2,124.3,4092.15,5490.61,240.03,5.54,1.3417
2023-07-06,24.0,93.61,2476.6,179.5,930.1,124.8,4131.07,5253.09,243.53,5.57,1.2716
2023-07-07,24.0,91.26,2517.5,181.0,954.0,125.7,4009.11,5454.12,237.52,5.59,1.3604
2023-07-08,24.0,93.48,2497.1,180.0,947.8,123.6,4093.07,5284.29,243.71,5.62,1.291
2023-07-09,24.0,94.07,2484.4,179.7,923.2,128.1,4054.07,5681.34,242.6,5.65,1.4014
2023-07-10,24.0,91.4,2528.2,179.6,974.3,125.1,3844.66,4591.49,231.23,5.67,1.1943
2023-07-11,24.0,91.03,2502.5,180.4,993.0,125.5,3891.3,5406.81,235.21,5.7,1.3895
2023-07-12,24.0,91.52,2515.9,179.7,987.2,122.7,3768.1,4740.05,228.91,5.73,1.2579
2023-07-13,24.0,92.28,2499.5,180.4,958.5,124.7,4056.89,5600.68,247.7,5.75,1.3805
2023-07-14,24.0,92.09,2503.6,180.0,955.0,124.9,3878.21,5280.57,237.99,5.78,1.3616
2023-07-15,24.0,92.6,2502.7,180.6,959.4,125.2,3919.15,4319.46,241.71,5.81,1.1021
2023-07-16,24.0,95.78,2450.2,179.5,886.9,127.5,4180.81,5522.41,259.16,5.84,1.3209
2023-07-17,24.0,98.1,2452.8,179.5,857.9,128.3,4054.58,5490.31,252.6,5.86,1.3541
2023-07-18,24.0,96.68,2494.4,179.9,882.3,127.9,4027.61,5524.48,252.2,5.89,1.3717
2023-07-19,24.0,95.78,2442.6,179.9,894.8,128.6,4106.2,4987.76,258.42,5.92,1.2147
2023-07-20,24.0,95.62,2465.1,179.8,888.4,125.2,4116.34,5461.35,260.38,5.95,1.3267
2023-07-21,24.0,92.99,2502.5,181.3,937.6,127.4,3953.3,5131.53,251.33,5.98,1.298
2023-07-22,24.0,90.98,2505.0,181.0,974.3,125.2,3867.19,5077.68,247.11,6.01,1.313
2023-07-23,24.0,88.55,2529.0,180.1,1035.4,120.5,3859.23,5199.68,247.86,6.03,1.3473
2023-07-24,24.0,86.83,2495.5,180.2,1050.3,121.4,3734.54,5080.83,241.07,6.06,1.3605
2023-07-25,24.0,88.91,2522.1,179.9,1030.5,123.6,3810.93,4732.1,247.26,6.09,1.2417
2023-07-26,24.0,87.63,2510.7,179.5,1043.1,119.5,3773.35,4912.33,246.07,6.12,1.3018
2023-07-27,24.0,86.09,2537.8,179.9,1091.1,120.3,3625.51,4659.18,237.64,6.15,1.2851
2023-07-28,24.0,87.41,2520.9,180.4,1049.2,121.1,3861.48,4898.51,254.4,6.18,1.2686
2023-07-29,24.0,86.74,2559.6,180.7,1059.5,119.7,3499.74,4449.58,231.74,6.21,1.2714
2023-07-30,24.0,87.37,2527.3,180.5,1054.1,121.3,3800.43,4925.19,252.95,6.24,1.296
2023-07-31,24.0,86.27,2524.8,179.2,1052.6,119.5,3709.4,4617.99,248.15,6.27,1.2449
2023-08-01,24.0,83.57,2524.2,179.9,1120.6,120.6,3544.19,4750.37,238.32,6.3,1.3403
2023-08-02,24.0,84.27,2541.8,179.3,1124.4,118.1,3559.13,4852.94,240.55,6.33,1.3635
2023-08-03,24.0,81.94,2569.7,180.6,1156.0,118.5,3441.8,4223.87,233.82,6.36,1.2272
2023-08-04,24.0,81.18,2560.9,179.8,1189.2,114.3,3492.99,4767.64,238.51,6.39,1.3649
2023-08-05,24.0,80.08,2562.1,180.0,1202.7,115.8,3365.88,4133.2,231.02,6.42,1.228
2023-08-06,24.0,80.37,2557.4,180.2,1199.2,116.3,3329.0,4455.19,229.66,6.45,1.3383
2023-08-07,24.0,79.54,2579.4,181.4,1213.6,115.4,3400.74,4635.58,235.82,6.48,1.3631
2023-08-08,24.0,79.35,2583.1,180.1,1206.7,114.9,3435.32,4371.63,239.45,6.52,1.2726
2023-08-09,24.0,77.01,2609.5,179.9,1277.7,112.9,3104.44,3801.67,217.51,6.55,1.2246
2023-08-10,0.0,80.01,2548.9,179.4,1183.1,61.1,0.0,0.0,0.0,0.0,0.0
2023-08-11,0.0,78.21,2584.8,180.7,1238.3,61.5,0.0,0.0,0.0,0.0,0.0
2023-08-12,0.0,80.01,2559.4,179.9,1192.5,59.9,0.0,0.0,0.0,0.0,0.0
2023-08-13,0.0,80.23,2556.8,180.8,1200.4,58.4,0.0,0.0,0.0,0.0,0.0
2023-08-14,0.0,80.44,2561.2,180.6,1195.0,62.7,0.0,0.0,0.0,0.0,0.0
2023-08-15,0.0,80.98,2555.8,179.8,1175.3,58.7,0.0,0.0,0.0,0.0,0.0
2023-08-16,0.0,78.16,2578.9,179.3,1215.7,57.8,0.0,0.0,0.0,0.0,0.0
2023-08-17,24.0,79.61,2542.2,180.1,1186.7,112.7,3270.95,4176.72,238.85,6.81,1.2769
2023-08-18,24.0,78.84,2551.7,179.7,1217.6,115.3,3291.17,4102.57,241.58,6.84,1.2465
2023-08-19,24.0,80.65,2569.4,180.0,1190.7,116.1,3370.74,4581.94,248.71,6.87,1.3593
2023-08-20,24.0,80.43,2544.4,180.5,1165.1,117.8,3425.87,4686.52,254.09,6.9,1.368
2023-08-21,24.0,79.87,2555.5,179.2,1176.8,116.8,3397.69,4371.48,253.32,6.94,1.2866
2023-08-22,24.0,77.93,2580.9,180.1,1242.0,115.0,3300.12,4190.33,247.33,6.97,1.2698
2023-08-23,24.0,76.78,2580.0,180.4,1248.8,113.3,3166.97,3950.24,238.59,7.01,1.2473
2023-08-24,24.0,77.41,2574.9,180.4,1236.4,115.9,3089.19,3969.84,233.94,7.04,1.2851
2023-08-25,24.0,75.45,2594.5,179.3,1296.2,115.6,3007.11,4196.98,228.92,7.07,1.3957
2023-08-26,24.0,72.47,2572.0,180.2,1341.4,112.2,3058.58,3893.29,234.06,7.11,1.2729
2023-08-27,24.0,71.18,2605.4,180.6,1361.5,109.1,2991.64,3659.03,230.13,7.14,1.2231
2023-08-28,24.0,72.44,2608.4,180.2,1348.3,111.9,2954.75,3696.48,228.49,7.18,1.251
2023-08-29,24.0,40.0,2880.4,179.9,2111.6,87.4,1603.02,2084.47,124.61,7.21,1.3003
2023-08-30,24.0,38.98,2867.5,180.6,2120.6,85.6,1573.71,1902.91,122.97,7.25,1.2092
2023-08-31,24.0,38.48,2856.6,179.7,2124.1,85.6,1591.0,1993.58,124.98,7.28,1.253
2023-09-01,24.0,38.01,2859.5,179.2,2142.5,86.1,1570.09,2016.91,123.98,7.32,1.2846
2023-09-02,24.0,38.48,2879.9,179.9,2134.4,87.1,1615.94,1959.99,128.28,7.35,1.2129
2023-09-03,24.0,36.06,2881.5,180.3,2173.5,88.3,1468.89,1678.09,117.22,7.39,1.1424
2023-09-04,24.0,37.48,2872.0,180.5,2171.3,84.9,1531.79,1817.66,122.88,7.43,1.1866
